interaction,order,coefficient,abs_coefficient
∅,0,0.0625,0.0625
A,1,0.0625,0.0625
I,1,0.0625,0.0625
L,1,0.0625,0.0625
R,1,0.0625,0.0625
AL,2,0.0625,0.0625
IA,2,0.0625,0.0625
IL,2,0.0625,0.0625
RA,2,0.0625,0.0625
RI,2,0.0625,0.0625
RL,2,0.0625,0.0625
IAL,3,0.0625,0.0625
RAL,3,0.0625,0.0625
RIA,3,0.0625,0.0625
RIL,3,0.0625,0.0625
RIAL,4,0.0625,0.0625
