n,k,easy_support,hard_support,easy_full_k_projections,hard_full_k_projections,easy_obdd_nodes,hard_obdd_nodes,obdd_ratio,hard_seed
5,2,16,16,True,True,9,16,1.7777777777777777,20261408
6,2,32,32,True,True,11,26,2.3636363636363638,20261508
7,2,64,64,True,True,13,44,3.3846153846153846,20261608
8,2,128,128,True,True,15,76,5.066666666666666,20261708
9,2,256,256,True,True,17,131,7.705882352941177,20261808
10,2,512,512,True,True,19,232,12.210526315789474,20261908
11,2,1024,1024,True,True,21,413,19.666666666666668,20262008
12,2,2048,2048,True,True,23,729,31.695652173913043,20262108
